customer_id,lifetime_spend
C00206,1002073.6499999998
C00317,981534.47
C00276,953334.6000000002
C00176,935784.1599999999
C00114,923597.0599999999
C00154,912847.4
C00349,903888.8099999999
C00041,877707.3600000001
C00307,871851.51
C00354,859353.6400000001
C00189,842196.2599999999
C00194,836095.4199999995
C00092,822723.8699999999
C00316,808771.32
C00069,807862.8299999998
C00216,807396.8300000001
C00070,784119.9
C00380,781346.8400000001
C00174,777821.24
C00321,776166.8099999999
C00211,774955.49
C00393,773664.7299999999
C00305,772355.05
C00361,767112.55
C00012,766051.2599999999
C00171,761532.5499999998
C00222,759623.54
C00283,757550.0199999999
C00111,753754.1099999999
C00082,749664.4199999999
C00196,747508.36
C00295,743581.0299999999
C00255,741671.5299999998
C00328,740266.34
C00330,723128.75
C00339,717742.3799999999
C00145,710308.33
C00008,708953.75
C00199,707925.2699999999
C00392,703685.5500000002
C00306,696393.31
C00219,696184.17
C00006,696151.4600000001
C00398,696057.6199999999
C00035,692715.6300000001
C00161,691235.33
C00213,688025.5999999999
C00263,684451.1500000003
C00246,679224.34
C00239,677932.45
C00275,677797.5499999999
C00088,676952.8800000001
C00266,676132.32
C00367,674634.0799999998
C00245,672629.8200000001
C00061,672245.2799999999
C00203,667486.4900000001
C00105,661128.2500000001
C00028,653359.6699999998
C00225,649419.39
C00015,644422.7900000003
C00315,641451.25
C00020,640748.9300000002
C00254,638545.34
C00280,638521.25
C00348,633825.8200000001
C00170,630913.22
C00351,629384.1699999999
C00259,626128.43
C00270,621016.58
C00007,619501.82
C00214,616802.3700000001
C00076,613292.4700000001
C00146,613025.28
C00378,611633.6100000001
C00108,610255.23
C00399,605064.4700000001
C00126,603451.8199999998
C00372,603242.54
C00078,600623.9399999998
C00123,599627.9599999998
C00099,598664.36
C00134,598129.0099999999
C00382,593591.5700000001
C00313,593211.96
C00116,592280.3200000001
C00040,588243.03
C00320,587889.0
C00139,586764.9499999997
C00014,584426.66
C00159,582966.4
C00359,581561.77
C00107,581403.27
C00100,577369.07
C00121,577239.03
C00264,577012.4
C00127,572440.9500000001
C00110,571252.8600000001
C00294,568244.23
C00084,567468.39
C00080,566796.0799999998
C00128,566191.1300000002
C00181,565797.3800000001
C00247,565771.9000000001
C00332,559158.2200000001
C00289,555179.9199999999
C00273,553897.16
C00220,551454.84
C00241,550373.95
C00376,548320.0000000001
C00223,547970.96
C00278,546890.01
C00054,545683.04
C00066,542024.82
C00163,539794.46
C00202,535207.39
C00075,535204.4400000002
C00138,535004.06
C00229,533982.03
C00049,533781.7899999999
C00215,531066.98
C00368,524322.61
C00197,523805.17000000004
C00271,522813.81999999995
C00016,522047.70999999996
C00243,521585.49000000005
C00301,518876.88999999996
C00353,517652.55999999994
C00253,511754.1700000001
C00089,509417.30000000005
C00331,509026.0300000001
C00284,508905.11000000016
C00173,508374.0199999999
C00329,507886.92000000004
C00337,507706.52
C00394,507415.1899999998
C00228,507357.46000000014
C00094,502554.83999999997
C00021,501692.83999999997
C00302,494690.92000000004
C00051,494627.85
C00077,494507.3900000001
C00024,494303.24000000005
C00397,493650.73000000004
C00046,493405.0
C00150,490662.7800000001
C00231,489996.97000000003
C00217,489660.0200000001
C00166,487876.9799999999
C00373,487249.77000000014
C00249,486484.12
C00242,485752.9600000001
C00338,484937.62000000005
C00023,483004.56999999995
C00063,482374.61000000004
C00098,481870.85
C00193,481275.49
C00148,480866.4200000001
C00044,480784.6800000001
C00345,480004.33999999997
C00252,478903.20000000007
C00037,477988.42
C00204,477867.0099999999
C00343,475397.1599999999
C00184,472357.93
C00060,470104.79
C00190,469817.08999999997
C00156,469241.99000000005
C00226,464982.26999999996
C00097,463474.08
C00064,462563.82
C00221,461400.01
C00160,459619.86
C00132,456580.51999999996
C00327,455923.0099999999
C00085,455360.00000000006
C00240,455168.64
C00011,453770.83
C00031,450845.56
C00087,449955.51000000007
C00319,448650.47000000003
C00395,446865.58999999997
C00342,445984.97000000015
C00115,445505.04000000004
C00334,445080.93000000005
C00056,443996.15
C00358,443488.47
