order_item_id,order_id,product_id,quantity,unit_price,_ingested_at,_source_file
OI0000001,O000001,P00039,3,11770.16,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000002,O000002,P00046,4,15720.6,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000003,O000002,P00097,2,721.52,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000004,O000002,P00025,2,8564.03,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000005,O000002,P00022,1,5634.74,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000006,O000003,P00099,1,10238.47,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000007,O000003,P00069,1,4360.73,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000008,O000003,P00080,1,8989.55,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000009,O000004,P00089,1,5537.28,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000010,O000004,P00088,1,11981.85,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000011,O000005,P00037,1,15375.83,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000012,O000006,P00046,4,15720.6,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000013,O000006,P00091,1,4946.59,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000014,O000007,P00020,1,6822.91,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000015,O000007,P00012,1,14499.23,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000016,O000007,P00100,2,6083.97,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000017,O000007,P00066,3,7639.92,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000018,O000008,P00103,4,632.72,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000019,O000008,P00087,1,811.76,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000020,O000008,P00041,-1,6177.47,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000021,O000009,P00080,1,8989.55,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000022,O000009,P00035,3,11526.61,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000023,O000009,P00113,4,13810.57,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000024,O000009,P00094,4,13171.07,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000025,O000010,P00109,2,3646.7,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000026,O000011,P00062,4,5900.1,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000027,O000011,P00118,4,5621.04,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000028,O000012,P00086,3,4550.54,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000029,O000012,P00112,5,7810.47,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000030,O000013,P00002,2,12959.03,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000031,O000014,P00043,1,3075.89,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000032,O000014,P00036,5,2532.85,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000033,O000015,P00058,1,2681.24,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000034,O000015,P00041,4,6177.47,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000035,O000015,P00016,-5,3591.51,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000036,O000015,P00064,1,605.62,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000037,O000016,P00044,2,10305.42,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000038,O000016,P00047,3,7255.75,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000039,O000016,P00106,5,14600.94,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000040,O000016,P00007,3,1695.66,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000041,O000017,P00071,1,12968.25,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000042,O000017,P00067,2,3120.12,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000043,O000017,P00048,4,11151.18,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000044,O000018,P00059,2,15594.5,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000045,O000018,P00106,1,14600.94,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000046,O000019,P00085,-4,9236.97,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000047,O000019,P00076,1,2930.49,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000048,O000019,P00065,4,7681.42,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000049,O000019,P00018,4,10426.0,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000050,O000020,P00050,5,11773.84,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000051,O000021,P00038,2,5516.66,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000052,O000021,P00058,5,2681.24,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000053,O000021,P00104,5,13741.36,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000054,O000022,P00088,2,11981.85,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000055,O000022,P00045,2,5431.46,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000056,O000022,P00118,3,5621.04,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000057,O000023,P00113,1,13810.57,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000058,O000023,P00109,1,3646.7,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000059,O000023,P00055,1,5599.57,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000060,O000024,P00027,1,12270.99,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000061,O000024,P00097,4,721.52,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000062,O000024,P00070,5,2586.86,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000063,O000025,P00119,4,14522.12,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000064,O000026,P00080,4,8989.55,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000065,O000026,P00112,3,7810.47,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000066,O000027,P00024,2,661.99,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000067,O000028,P00001,2,7519.88,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000068,O000028,P00043,3,3075.89,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000069,O000028,P00060,5,10636.45,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000070,O000029,P00067,5,3120.12,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000071,O000029,P00009,5,13213.04,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000072,O000030,P00047,5,7255.75,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000073,O000030,P00038,5,5516.66,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000074,O000030,P00028,1,5804.91,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000075,O000031,P00006,3,15242.13,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000076,O000031,P00088,1,11981.85,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000077,O000032,P00066,4,7639.92,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000078,O000032,P00103,2,632.72,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000079,O000032,P00058,1,2681.24,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000080,O000033,P00107,4,3734.57,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000081,O000033,P00014,1,13181.63,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000082,O000033,P00027,2,12270.99,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000083,O000033,P00069,3,4360.73,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000084,O000034,P00053,4,2768.97,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000085,O000034,P00050,1,11773.84,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000086,O000034,P00058,1,2681.24,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000087,O000035,P00038,3,5516.66,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000088,O000036,P00018,4,10426.0,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000089,O000036,P00096,5,2944.05,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000090,O000037,P00071,5,12968.25,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000091,O000038,P00028,5,5804.91,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000092,O000038,P00053,2,2768.97,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000093,O000038,P00116,3,15959.01,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000094,O000039,P00083,1,14812.87,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000095,O000039,P00071,2,12968.25,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000096,O000039,P00010,4,14694.37,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000097,O000039,P00038,3,5516.66,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000098,O000040,P00079,5,5251.04,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000099,O000040,P00085,5,9236.97,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000100,O000040,P00040,3,2951.4,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000101,O000041,P00036,3,2532.85,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000102,O000041,P00108,4,14347.63,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000103,O000041,P00047,3,7255.75,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000104,O000041,P00018,1,10426.0,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000105,O000042,P00094,1,13171.07,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000106,O000042,P00114,1,2567.88,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000107,O000042,P00081,1,14690.16,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000108,O000043,P00084,4,14069.72,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000109,O000043,P00100,5,6083.97,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000110,O000043,P00020,3,6822.91,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000111,O000043,P00047,5,7255.75,2026-08-09T06:46:32.219973+00:00,order_items.csv
OI0000112,O000044,P00097,2,721.52,2026-08-09T06:46:32.219973+00:00,order_items.csv
